,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017,is_green
1184,BRA,Brazil,Agudo,BRA0031040,3.9,-27.5247,-51.5067,Hydro,,,,2016.0,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,Agência Nacional de Energia Elétrica (Brazil),1112284,2017.0,,,,,,,,,7.61,12.81,12.29,12.32,10.45,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,1
1185,BRA,Brazil,Agudos Ambev,BRA0029076,4.8,-22.465,-48.9785,Oil,,,,,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,Agência Nacional de Energia Elétrica (Brazil),,2017.0,,,,,,,,,,,,,9.48,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,Oil
1186,BRA,Brazil,Aguti,BRA0029711,3.893,-27.3156,-49.0858,Hydro,,,,2011.0,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,Agência Nacional de Energia Elétrica (Brazil),1092474,2017.0,,,,,,,,,13.4,16.41,16.18,15.73,14.1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,1
1187,BRA,Brazil,Ahlstrom,BRA0029706,1.3,-23.082,-46.9415,Gas,,,,2007.0,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,Agência Nacional de Energia Elétrica (Brazil),,2017.0,,,,,,,,,,,,,8.56,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,Gas
1188,BRA,Brazil,Aimorés,BRA0000042,330.0,-19.4983,-41.0236,Hydro,,,,2005.0,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,Agência Nacional de Energia Elétrica (Brazil),1050765,2017.0,,,,,,,,,1353.57,1234.91,1196.24,1254.6,1379.73,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,1
1189,BRA,Brazil,Ala Polo,BRA0031182,1.456,-23.6461,-46.6386,Oil,,,,2011.0,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,Agência Nacional de Energia Elétrica (Brazil),,2017.0,,,,,,,,,,,,,2.87,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,Oil
1190,BRA,Brazil,Albano Machado,BRA0029514,3.0,-27.4967,-52.8036,Hydro,,,,2011.0,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,Agência Nacional de Energia Elétrica (Brazil),1078571,2017.0,,,,,,,,,5.68,9.36,8.96,8.99,7.55,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,1
1191,BRA,Brazil,Albatroz,BRA0029085,4.8,-6.5475,-34.968,Wind,,,,2009.0,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,Agência Nacional de Energia Elétrica (Brazil),,2017.0,,,,,,,,,15.02,11.48,14.46,10.35,10.04,WIND-V1,WIND-V1,WIND-V1,WIND-V1,WIND-V1,1
1192,BRA,Brazil,Albertina,BRA0027536,4.25,-21.0335,-47.9605,Biomass,,,,,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,Agência Nacional de Energia Elétrica (Brazil),,2017.0,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,Biomass
1193,BRA,Brazil,Albrás,BRA0027387,4.96,-1.502,-48.6165,Oil,,,,,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,Agência Nacional de Energia Elétrica (Brazil),,2017.0,,,,,,,,,,,,,9.8,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,Oil
